name,mem,net,cpu,speed1_out,speed8_out,speed32_out,speed1_in,speed8_in,speed32_in,speed256
lammps-C,49356.666666666664,1370250617.6666665,0.88904599491937,1,5.853798381132247,12.573429311738193,1,4.685027902522137,-1,9.260848933311992
lammps-B,23385.333333333332,90693714.16666666,0.8660151295082686,1,4.997911998705737,9.340612900722713,1,4.0610996650724935,-1,9.578967674025893
lammps-A,45149.333333333336,128977094,0.8169514635222974,1,5.835530772045033,11.817997812371422,1,4.794810330873677,-1,4.633532838816864
Quicksilver-C,83700.66666666667,20191184.333333332,0.870419411892563,1,3.299519425021298,8.998796259748303,1,2.262132394129607,-1,-1
Quicksilver-B,47480,10892884.666666666,0.8683636281669787,1,3.306013312176604,8.760948931961613,1,2.267284805186106,-1,-1
Quicksilver-A,18106.666666666668,3225825.5,0.8613468725759145,1,3.2307230787808146,7.317346774203059,1,2.264551078698759,-1,-1
kripke-C,575496.6666666666,1724809.3333333335,0.988572866201991,1,-1,-1,1,-1,-1,-1
kripke-B,188547.33333333334,498279.1666666666,0.996496313343528,1,-1,-1,1,-1,-1,-1
kripke-A,71804,184151363.5,0.9572352554246627,1,7.684346805210978,19.940306805173545,1,5.076795019764888,-1,41.24483288125454
LULESH-C,601879.3333333334,1066196802.3333333,0.8779199602029771,1,0.8959498147875838,-1,1,0.6287639170015704,-1,-1
LULESH-B,81363.33333333333,271897913.6666667,0.9148698854155212,1,0.9656628133562145,-1,1,0.5879795268842618,-1,-1
LULESH-A,16602,71332213.83333333,0.8550113728831902,1,0.8466131724600114,-1,1,0.5538915691910465,-1,-1
examl-B,45880,11957268639.5,0.7009238631033192,1,3.0039230008544378,2.325543364597875,1,4.32124235157369,-1,1.8565984247088057
examl-A,16852,2014726415.8333335,0.3866070730518241,1,0.19639497828300828,0.11979001272330593,1,2.689938741674077,-1,0.07662307988274433
EP-C,451193.3333333333,5821829048.833334,0.8246751428107977,-1,1,2.8740726473395717,-1,1,4.018471311845857,1
EP-B,129584,387764505.1666666,0.9114664137110516,1,6.860614502658064,18.363631492893713,1,6.2474392560263805,23.837599462225757,155.95551918204063
EP-A,22299.333333333332,25790038.833333336,0.8902998823261178,1,6.777974419243137,17.07535640914754,1,5.833240755103592,18.382552805095397,101.14000671616992
BT-C,280147.3333333333,71616695634.83334,0.8240924377417187,-1,-1,-1,-1,-1,-1,1
BT-B,1443634,14649696872.833334,0.9719107076224485,-1,-1,1,-1,1,5.594456595731901,1
BT-A,446893.3333333333,2567045608.666667,0.9609730974715303,1,3.4986749655569533,19.188064926337322,1,2.393960849288876,13.333698779550332,32.030038881743934
FT-C,616218,124825032261,0.48377795211647373,-1,-1,-1,-1,-1,-1,1
FT-B,695855.3333333334,15498462825.166666,0.8328050147102,-1,-1,-1,-1,-1,1,1
FT-A,401463.3333333333,2568848911.3333335,0.6429893703601725,-1,1,4.342989992043244,-1,1,3.113203294414039,1
IS-C,373813.3333333333,21781663448,0.4551392317964076,-1,-1,-1,-1,-1,-1,1
IS-B,1352102.6666666667,4584531443.833333,0.620374787835809,-1,1,3.5755666403347215,-1,1,3.0451592666324725,1
IS-A,361136,288737828.3333334,0.7072573507004842,1,3.9651322134678013,10.218626789340925,1,5.660371072343575,15.691659046596127,4.6126025074230865
MG-C,152534.66666666666,2740321742.5,0.6562553963897423,-1,-1,-1,-1,-1,-1,1
MG-B,1499825.3333333333,1851366613.6666667,0.88534737194502,-1,1,3.564118810661645,-1,1,1.8582188852254777,1
MG-A,788525.3333333334,177424344.6666667,0.8369159268846649,1,7.161492645947411,18.94466215244266,1,4.884108499810308,8.587254682323803,7.089447209195719
CG-C,221690,57618370689.66667,0.7565794881425466,-1,-1,-1,-1,-1,-1,1
CG-B,1188126.6666666667,18546228186.166664,0.8860060422313932,-1,1,3.6058007008488735,-1,1,3.048883239349487,1
CG-A,260128,1387929399.5,0.8833744552329523,1,12.200798570757824,27.885632702510712,1,9.476387601913027,25.121741518054048,5.5454433480243726
LU-C,125590,12724131479.666668,0.7014461897153585,-1,-1,-1,-1,-1,-1,1
LU-B,724350.4,2710273335.6,0.9573233855641236,-1,1,3.6789593405057803,-1,1,3.1674829790274712,-1
LU-A,173404,596836337.6666667,0.9551729024440772,1,6.986390295530235,21.794477522578447,1,4.580200737855771,13.180837063450468,21.338703826319048
SP-C,235166.66666666666,135002170962.33334,0.717847502099424,-1,-1,-1,-1,-1,-1,1
SP-B,1197946.6666666667,27026025702,0.9668503096672578,-1,-1,1,-1,1,4.4267901878001785,1
SP-A,374590,4460695899.5,0.9476232958926291,1,3.48917448669377,20.330043406863172,1,2.4452598292989456,10.346678212549076,16.071023009987154
