"BO-6rnd-EIdef","BO-6rnd-EInova","BO-6sel-EIdef","PB3Opt","Ranking Search","ID"
1.19092789387348,1,1,1,1,"BT-A"
1.28209967695773,1.28209967695773,1.4476466158796,1.28209967695773,1.3349697331234,"BT-B"
1.35083682597937,1,1.363641551255,1,1,"BT-C"
1.24587364826409,1.24587364826409,1.26010244735344,1.26010244735344,1.24587364826409,"CG-A"
1.12135401728374,1.12135401728374,1,1.01084909777905,1.01084909777905,"CG-B"
1.32869963034089,1,1.08970852771001,1,1,"CG-C"
1.35181569699336,1.16243654822335,1.12963686060133,1.12963686060133,1.12963686060133,"EP-A"
1.26530161844041,1.08538499264345,1,1,1.03906326630701,"EP-B"
1.07947007167692,1.07947007167692,1.25516924987793,1.14248646192744,1.15955232533268,"EP-C"
13.5642458100559,8.35195530726257,1,1,1,"examl-A"
1,1,1,1,1,"examl-B"
1,1.32706766917293,1.24600563909774,1.24600563909774,1.24600563909774,"FT-A"
1.72491845820537,1.13318096326453,1,1,1,"FT-B"
1.02542477129885,1,1.02542477129885,1,1,"FT-C"
1.203125,1.11458333333333,1.11458333333333,1.02864583333333,1.11458333333333,"IS-A"
1,1.09547955550761,1.09547955550761,1.09547955550761,1.09547955550761,"IS-B"
1.28566970745517,1,1,1.12917772884555,1,"IS-C"
1.12284069097889,1.12284069097889,1,1,1,"kripke-A"
1.16074298981961,1.03875692087873,1.03875692087873,1.16074298981961,1,"kripke-B"
1.12560223549817,1.11572557332819,1,1.11572557332819,1.11572557332819,"kripke-C"
1.55388471177945,1,1,1,1,"lammps-A"
1,1,1,1,1,"lammps-B"
1.46268656716418,1,1,1,1,"lammps-C"
1,1,1,1,1,"LU-A"
1.20572582575762,1.02813806311422,1.02501365776406,1.02501365776406,1.02501365776406,"LU-B"
1.11273899585393,1.05006052526123,1,1.00894987356299,1.00894987356299,"LU-C"
109.361904761905,1,1,1,1,"LULESH-A"
13.6036585365854,13.6036585365854,1,1,1,"LULESH-B"
8.92911810139025,1,1,1,1,"LULESH-C"
1.03907380607815,1.03907380607815,1.03907380607815,1.03907380607815,1,"MG-A"
1.33029029292001,1,1.00939182976488,1,1,"MG-B"
1,1.27309655083985,1.1269547377869,1.1269547377869,1.27309655083985,"MG-C"
5.97557666214383,1,1,1,1,"Quicksilver-A"
1,1,1,1,1,"Quicksilver-B"
1,1,1,1,1,"Quicksilver-C"
1.11362785473605,1,1,1,1,"SP-A"
1,1,1.47565943558458,1.29880980405457,1.29880980405457,"SP-B"
1.1743261509044,1.01622877194315,1,1,1,"SP-C"
